"DOClass"	"Disease"	"DiseaseClass"	"EvidenceIndexGDA"	"EvidenceLevelGDA"	"FirstRef"	"Gene"	"GeneDPI"	"GeneDSI"	"GeneFullName"	"GenePLI"	"HPOClass"	"LastRef"	"NumDiseasesAssociatedToGene"	"NumGenesDisease"	"NumPMIDs"	"NumVariantsAssociatedToGene"	"NumVariantsDisease"	"NumVariantsGDA"	"PathwayIDs"	"PathwayNames"	"ProteinClass"	"ScoreGDA"	"SemanticType"	"Type"	"UnitProt"	"diseaseUMLSCUI"	"geneEnsemblIDs"	"geneNcbiID"	"geneNcbiType"	"numCTs"	"numChemsIncludedInEvidences"	"numPMIDSWithChemsIncludedInEvidences"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.9634565778159931"	""	"1986"	"HTT"	"0.88"	"0.48"	"huntingtin"	"1.0"	""	"2020"	"12"	"40"	"50"	"29"	"9"	"5"	"R-HSA-74160"	"Gene expression (Transcription)"	""	"1.0"	"Disease or Syndrome (T047)"	"disease"	"P42858"	"C0020179"	"ENSG00000197386"	"3064"	"protein-coding"	"26"	"121"	"189"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.9214285714285714"	""	""	"BDNF"	"0.92"	"0.33"	"brain derived neurotrophic factor"	"0.99974"	""	""	"54"	"40"	"0"	"32"	"9"	"0"	""	""	"Signaling"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"A0A0E3SU01,P23560"	"C0020179"	"ENSG00000176697"	"627"	"protein-coding"	"4"	"36"	"18"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.8636363636363636"	""	""	"IGF1"	"0.92"	"0.29"	"insulin like growth factor 1"	"0.75878"	""	""	"71"	"40"	"0"	"118"	"9"	"0"	"R-HSA-109582,R-HSA-162582,R-HSA-392499"	"Hemostasis,Signal Transduction,Metabolism of proteins"	""	"0.9"	"Disease or Syndrome (T047)"	"disease"	"Q59GC5,P05019,Q13429,Q5U743"	"C0020179"	"ENSG00000017427"	"3479"	"protein-coding"	"1"	"2"	"2"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.9166666666666666"	""	""	"PPARGC1A"	"0.88"	"0.42"	"PPARG coactivator 1 alpha"	"1.0"	""	""	"20"	"40"	"0"	"29"	"9"	"0"	"R-HSA-1266738,R-HSA-1430728,R-HSA-1852241,R-HSA-392499,R-HSA-400253,R-HSA-74160,R-HSA-8953897"	"Developmental Biology,Metabolism,Organelle biogenesis and maintenance,Metabolism of proteins,Circadian Clock,Gene expression (Transcription),Cellular responses to stimuli"	"Transcription factor"	"0.9"	"Disease or Syndrome (T047)"	"disease"	"Q9UBK2"	"C0020179"	"ENSG00000109819"	"10891"	"protein-coding"	"1"	"9"	"8"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.9555555555555556"	""	""	"GRIN2B"	"0.92"	"0.42"	"glutamate ionotropic receptor NMDA type subunit 2B"	"1.0"	""	""	"52"	"40"	"0"	"354"	"9"	"0"	"R-HSA-112316,R-HSA-1266738,R-HSA-162582,R-HSA-74160"	"Neuronal System,Developmental Biology,Signal Transduction,Gene expression (Transcription)"	"Ion channel"	"0.9"	"Disease or Syndrome (T047)"	"disease"	"Q13224,A0A8D9PHB2"	"C0020179"	"ENSG00000273079"	"2904"	"protein-coding"	"1"	"10"	"12"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.9"	""	""	"IL6"	"0.96"	"0.24"	"interleukin 6"	"0.19935"	""	""	"209"	"40"	"0"	"6"	"9"	"0"	"R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897"	"Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli"	""	"0.85"	"Disease or Syndrome (T047)"	"disease"	"Q75MH2,P05231,B4DVM1,B4DNQ5,B5MC21"	"C0020179"	"ENSG00000136244"	"3569"	"protein-coding"	"4"	"1"	"1"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.875"	""	""	"CNTF"	"0.88"	"0.53"	"ciliary neurotrophic factor"	"4.9324E-6"	""	""	"12"	"40"	"0"	"0"	"9"	"0"	"R-HSA-168256"	"Immune System"	""	"0.8"	"Disease or Syndrome (T047)"	"disease"	"P26441"	"C0020179"	"ENSG00000242689"	"1270"	"protein-coding"	"0"	"2"	"3"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"NPY"	"0.92"	"0.41"	"neuropeptide Y"	"0.0015886"	""	""	"40"	"40"	"0"	"0"	"9"	"0"	"R-HSA-162582,R-HSA-74160"	"Signal Transduction,Gene expression (Transcription)"	"Signaling"	"0.8"	"Disease or Syndrome (T047)"	"disease"	"P01303,A4D158"	"C0020179"	"ENSG00000122585"	"4852"	"protein-coding"	"0"	"2"	"2"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.9473684210526315"	""	""	"JPH3"	"0.75"	"0.54"	"junctophilin 3"	"0.99998"	""	""	"4"	"40"	"0"	"3"	"9"	"0"	""	""	""	"0.8"	"Disease or Syndrome (T047)"	"disease"	"Q96HD8,Q8WXH2,B4DIC1,F8W9A3"	"C0020179"	"ENSG00000154118"	"57338"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"HSF1"	"0.83"	"0.49"	"heat shock transcription factor 1"	"8.5088E-7"	""	""	"3"	"40"	"0"	"1"	"9"	"0"	"R-HSA-8953897,R-HSA-9612973"	"Cellular responses to stimuli,Autophagy"	"Transcription factor"	"0.8"	"Disease or Syndrome (T047)"	"disease"	"Q00613"	"C0020179"	"ENSG00000185122"	"3297"	"protein-coding"	"0"	"2"	"3"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"PRNP"	"0.92"	"0.41"	"prion protein (Kanno blood group)"	"3.2079E-4"	""	""	"29"	"40"	"0"	"74"	"9"	"0"	""	""	""	"0.8"	"Disease or Syndrome (T047)"	"disease"	"Q53YK7,F7VJQ1,P04156"	"C0020179"	"ENSG00000171867"	"5621"	"protein-coding"	"0"	"3"	"3"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.9565217391304348"	""	""	"SIRT1"	"0.92"	"0.38"	"sirtuin 1"	"0.89742"	""	""	"58"	"40"	"0"	"1"	"9"	"0"	"R-HSA-1266738,R-HSA-400253,R-HSA-74160,R-HSA-8953897"	"Developmental Biology,Circadian Clock,Gene expression (Transcription),Cellular responses to stimuli"	"Epigenetic regulator"	"0.8"	"Disease or Syndrome (T047)"	"disease"	"B0QZ35,E9PC49,A8K128,Q96EB6"	"C0020179"	"ENSG00000096717"	"23411"	"protein-coding"	"0"	"8"	"7"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.8918918918918919"	""	""	"HAP1"	"0.79"	"0.6"	"huntingtin associated protein 1"	"6.2144E-17"	""	""	"1"	"40"	"0"	"1"	"9"	"0"	""	""	"Transporter"	"0.8"	"Disease or Syndrome (T047)"	"disease"	"P54257"	"C0020179"	"ENSG00000173805"	"9001"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.9"	""	"2011"	"CNR1"	"0.92"	"0.44"	"cannabinoid receptor 1"	"0.31479"	""	"2011"	"48"	"40"	"1"	"0"	"9"	"0"	"R-HSA-162582"	"Signal Transduction"	"G-protein coupled receptor"	"0.75"	"Disease or Syndrome (T047)"	"disease"	"S5TLS4,P21554,V5KA96"	"C0020179"	"ENSG00000118432"	"1268"	"protein-coding"	"0"	"3"	"5"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"MAP3K5"	"0.83"	"0.51"	"mitogen-activated protein kinase kinase kinase 5"	"0.99994"	""	""	"8"	"40"	"0"	"5"	"9"	"0"	"R-HSA-8953897"	"Cellular responses to stimuli"	"Kinase"	"0.7"	"Disease or Syndrome (T047)"	"disease"	"Q99683,A0A8V8TMH5"	"C0020179"	"ENSG00000197442"	"4217"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"ABAT"	"0.88"	"0.59"	"4-aminobutyrate aminotransferase"	"1.1435E-10"	""	""	"10"	"40"	"0"	"251"	"9"	"0"	"R-HSA-112316"	"Neuronal System"	"Enzyme"	"0.7"	"Disease or Syndrome (T047)"	"disease"	"P80404,X5D8S1"	"C0020179"	"ENSG00000183044"	"18"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"EIF2AK2"	"0.88"	"0.45"	"eukaryotic translation initiation factor 2 alpha kinase 2"	"2.069E-5"	""	""	"15"	"40"	"0"	"15"	"9"	"0"	"R-HSA-1643685,R-HSA-168256,R-HSA-392499"	"Disease,Immune System,Metabolism of proteins"	"Kinase"	"0.7"	"Disease or Syndrome (T047)"	"disease"	"P19525,Q8IW76"	"C0020179"	"ENSG00000055332"	"5610"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"GLUL"	"0.88"	"0.46"	"glutamate-ammonia ligase"	"0.9997"	""	""	"18"	"40"	"0"	"116"	"9"	"0"	"R-HSA-112316,R-HSA-1430728"	"Neuronal System,Metabolism"	"Enzyme"	"0.7"	"Disease or Syndrome (T047)"	"disease"	"A8YXX4,P15104"	"C0020179"	"ENSG00000135821"	"2752"	"protein-coding"	"0"	"3"	"2"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"TFAM"	"0.83"	"0.51"	"transcription factor A, mitochondrial"	"0.086114"	""	""	"14"	"40"	"0"	"2"	"9"	"0"	"R-HSA-1852241,R-HSA-392499,R-HSA-74160"	"Organelle biogenesis and maintenance,Metabolism of proteins,Gene expression (Transcription)"	""	"0.7"	"Disease or Syndrome (T047)"	"disease"	"E5KSU5,Q00059"	"C0020179"	"ENSG00000108064"	"7019"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"2007"	"GDNF"	"0.88"	"0.43"	"glial cell derived neurotrophic factor"	"0.59662"	""	"2007"	"38"	"40"	"1"	"58"	"9"	"0"	""	""	"Signaling"	"0.65"	"Disease or Syndrome (T047)"	"disease"	"A0A0S2Z3V2,P39905,A0A0S2Z3T2"	"C0020179"	"ENSG00000168621"	"2668"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.75"	""	"2014"	"SLC2A3"	"0.83"	"0.5"	"solute carrier family 2 member 3"	"0.068256"	""	"2014"	"10"	"40"	"1"	"1"	"9"	"0"	"R-HSA-1430728,R-HSA-168256,R-HSA-382551,R-HSA-74160"	"Metabolism,Immune System,Transport of small molecules,Gene expression (Transcription)"	"Transporter"	"0.65"	"Disease or Syndrome (T047)"	"disease"	"P11169"	"C0020179"	"ENSG00000059804"	"6515"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"2016"	"SLC29A1"	"0.79"	"0.52"	"solute carrier family 29 member 1 (Augustine blood group)"	"0.030402"	""	"2016"	"10"	"40"	"1"	"5"	"9"	"0"	"R-HSA-382551,R-HSA-9748784"	"Transport of small molecules,Drug ADME"	"Transporter"	"0.65"	"Disease or Syndrome (T047)"	"disease"	"Q99808"	"C0020179"	"ENSG00000112759"	"2030"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"2011"	"MAOA"	"0.92"	"0.43"	"monoamine oxidase A"	""	""	"2011"	"39"	"40"	"1"	"34"	"9"	"0"	"R-HSA-112316,R-HSA-1430728,R-HSA-1643685,R-HSA-168256"	"Neuronal System,Metabolism,Disease,Immune System"	""	"0.65"	"Disease or Syndrome (T047)"	"disease"	"Q53YE7,Q49A63,P21397"	"C0020179"	"ENSG00000189221"	"4128"	"protein-coding"	"0"	"3"	"3"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"GRIN2A"	"0.88"	"0.48"	"glutamate ionotropic receptor NMDA type subunit 2A"	"1.0"	""	""	"38"	"40"	"0"	"646"	"9"	"0"	"R-HSA-112316,R-HSA-74160"	"Neuronal System,Gene expression (Transcription)"	"Ion channel"	"0.65"	"Disease or Syndrome (T047)"	"disease"	"Q59EW6,Q12879,Q547U9,A0A890YTL4"	"C0020179"	"ENSG00000183454"	"2903"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"0.6666666666666666"	""	""	"GRIK2"	"0.88"	"0.54"	"glutamate ionotropic receptor kainate type subunit 2"	"0.98689"	""	""	"34"	"40"	"0"	"19"	"9"	"0"	"R-HSA-112316"	"Neuronal System"	"Ion channel"	"0.65"	"Disease or Syndrome (T047)"	"disease"	"A0A8D9PH75,A8K0H7,Q8IY40,Q13002"	"C0020179"	"ENSG00000164418"	"2898"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"2010"	"OGG1"	"0.88"	"0.46"	"8-oxoguanine DNA glycosylase"	"7.2253E-12"	""	"2010"	"58"	"40"	"1"	"2"	"9"	"0"	"R-HSA-1643685,R-HSA-73894"	"Disease,DNA Repair"	""	"0.6"	"Disease or Syndrome (T047)"	"disease"	"E5KPM7,E5KPM9,E5KPN0,E5KPN1,O15527,E5KPM6,E5KPM8,E5KPM5"	"C0020179"	"ENSG00000114026"	"4968"	"protein-coding"	"0"	"2"	"2"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"2009"	"RCAN1"	"0.79"	"0.56"	"regulator of calcineurin 1"	"0.015233"	""	"2009"	"7"	"40"	"1"	"3"	"9"	"0"	""	""	"Signaling"	"0.6"	"Disease or Syndrome (T047)"	"disease"	"B7Z1F0,P53805,E9PDJ2,Q6ZMM3,V9GYW9,Q6FGP2"	"C0020179"	"ENSG00000159200"	"1827"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"PRKAA1"	"0.75"	"0.55"	"protein kinase AMP-activated catalytic subunit alpha 1"	"0.42661"	""	""	"7"	"40"	"0"	"10"	"9"	"0"	"R-HSA-112316,R-HSA-162582,R-HSA-74160,R-HSA-9612973"	"Neuronal System,Signal Transduction,Gene expression (Transcription),Autophagy"	"Kinase"	"0.6"	"Disease or Syndrome (T047)"	"disease"	"Q13131"	"C0020179"	"ENSG00000132356"	"5562"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"2017"	"ATF5"	"0.79"	"0.59"	"activating transcription factor 5"	"1.3113E-4"	""	"2017"	"4"	"40"	"1"	"1"	"9"	"0"	"R-HSA-8953897"	"Cellular responses to stimuli"	""	"0.55"	"Disease or Syndrome (T047)"	"disease"	"Q9Y2D1"	"C0020179"	"ENSG00000169136"	"22809"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"2003"	"DIABLO"	"0.83"	"0.53"	"diablo IAP-binding mitochondrial protein"	"3.8358E-10"	""	"2003"	"10"	"40"	"1"	"4"	"9"	"0"	""	""	""	"0.55"	"Disease or Syndrome (T047)"	"disease"	"Q9NR28,K7X1S0,A0A0S2Z5P6,A0A0S2Z5U7,Q502X2"	"C0020179"	"ENSG00000184047"	"56616"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"IL6R"	"0.88"	"0.42"	"interleukin 6 receptor"	"6.7914E-8"	""	""	"27"	"40"	"0"	"34"	"9"	"0"	""	""	"Signaling"	"0.55"	"Disease or Syndrome (T047)"	"disease"	"P08887,A0N0L5,A0A087WTB5"	"C0020179"	"ENSG00000160712"	"3570"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"NOG"	"0.83"	"0.49"	"noggin"	"0.99553"	""	""	"16"	"40"	"0"	"22"	"9"	"0"	"R-HSA-1266738,R-HSA-162582"	"Developmental Biology,Signal Transduction"	""	"0.55"	"Disease or Syndrome (T047)"	"disease"	"Q13253"	"C0020179"	"ENSG00000183691"	"9241"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"NRF1"	"0.88"	"0.55"	"nuclear respiratory factor 1"	"1.0"	""	""	"3"	"40"	"0"	"3"	"9"	"0"	""	""	""	"0.55"	"Disease or Syndrome (T047)"	"disease"	"Q16656"	"C0020179"	"ENSG00000106459"	"4899"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"2003"	"AIFM1"	"0.83"	"0.5"	"apoptosis inducing factor mitochondria associated 1"	""	""	"2003"	"31"	"40"	"1"	"135"	"9"	"0"	""	""	"Enzyme"	"0.5"	"Disease or Syndrome (T047)"	"disease"	"E9PMA0,O95831"	"C0020179"	"ENSG00000156709"	"9131"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"2011"	"FAAH"	"0.88"	"0.5"	"fatty acid amide hydrolase"	"9.2899E-21"	""	"2011"	"9"	"40"	"1"	"2"	"9"	"0"	"R-HSA-1430728"	"Metabolism"	""	"0.5"	"Disease or Syndrome (T047)"	"disease"	"O00519,Q9UG55"	"C0020179"	"ENSG00000117480"	"2166"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"2011"	"MAOB"	"0.92"	"0.49"	"monoamine oxidase B"	""	""	"2011"	"20"	"40"	"1"	"1"	"9"	"0"	"R-HSA-1430728"	"Metabolism"	""	"0.5"	"Disease or Syndrome (T047)"	"disease"	"B7Z242,P27338"	"C0020179"	"ENSG00000069535"	"4129"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	""	"NPY2R"	"0.79"	"0.63"	"neuropeptide Y receptor Y2"	"5.2469E-5"	""	""	"9"	"40"	"0"	"1"	"9"	"0"	"R-HSA-162582"	"Signal Transduction"	"G-protein coupled receptor"	"0.5"	"Disease or Syndrome (T047)"	"disease"	"P49146"	"C0020179"	"ENSG00000185149"	"4887"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7),disease by infectious agent (0050117)"	"Huntington Disease"	"Nervous System Diseases,Mental Disorders,Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"1.0"	""	"1989"	"LOC129929027"	"0.13"	"1.0"	"ATAC-STARR-seq lymphoblastoid silent region 15199"	""	""	"2015"	"1"	"40"	"8"	"0"	"9"	"0"	""	""	""	"0.4"	"Disease or Syndrome (T047)"	"disease"	""	"C0020179"	""	"129929027"	"biological-region"	"0"	"0"	"0"
